"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"230";"6. Biased  coin";"6. Biased  coin";39;393;99;294;503;497
"231";"2. Neyman known";"2. Neyman known";39;422;91;331;450;550
"232";"3. RSIHR Known";"3. RSIHR Known";39;442;79;363;397;603
"233";"4. Rosenberger known";"4. Rosenberger known";39;551;30;521;130;870
"234";"5. Optimal adjusted";"5. Optimal adjusted";39;382;96;286;529;471
"235";"1. Random";"1. Random";40;377;89;288;524;476
"236";"6. Biased  coin";"6. Biased  coin";40;395;93;302;501;500
"237";"2. Neyman known";"2. Neyman known";40;376;81;295;483;517
"238";"3. RSIHR Known";"3. RSIHR Known";40;434;72;362;390;610
"239";"4. Rosenberger known";"4. Rosenberger known";40;521;32;489;176;824
"240";"5. Optimal adjusted";"5. Optimal adjusted";40;389;100;289;504;496
"241";"1. Random";"1. Random";41;395;85;310;495;505
"242";"6. Biased  coin";"6. Biased  coin";41;372;85;287;502;498
"243";"2. Neyman known";"2. Neyman known";41;402;68;334;455;545
"244";"3. RSIHR Known";"3. RSIHR Known";41;442;66;376;371;629
"245";"4. Rosenberger known";"4. Rosenberger known";41;543;19;524;130;870
"246";"5. Optimal adjusted";"5. Optimal adjusted";41;366;96;270;522;478
"247";"1. Random";"1. Random";42;417;94;323;479;521
"248";"6. Biased  coin";"6. Biased  coin";42;415;102;313;501;499
"249";"2. Neyman known";"2. Neyman known";42;427;81;346;445;555
"250";"3. RSIHR Known";"3. RSIHR Known";42;449;72;377;388;612
"251";"4. Rosenberger known";"4. Rosenberger known";42;547;30;517;149;851
"252";"5. Optimal adjusted";"5. Optimal adjusted";42;386;116;270;556;444
"253";"1. Random";"1. Random";43;411;102;309;503;497
"254";"6. Biased  coin";"6. Biased  coin";43;399;105;294;501;500
"255";"2. Neyman known";"2. Neyman known";43;412;85;327;449;551
"256";"3. RSIHR Known";"3. RSIHR Known";43;444;85;359;385;615
"257";"4. Rosenberger known";"4. Rosenberger known";43;525;29;496;158;842
"258";"5. Optimal adjusted";"5. Optimal adjusted";43;385;123;262;545;455
"259";"1. Random";"1. Random";44;394;76;318;479;521
"260";"6. Biased  coin";"6. Biased  coin";44;409;87;322;501;499
