"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"4843";"1. Random";349;90;259;533;467
"4844";"6. Biased  coin";392;95;297;500;500
"4845";"2. Neyman known";406;90;316;477;523
"4846";"3. RSIHR Known";457;77;380;370;630
"4847";"4. Rosenberger known";546;28;518;140;860
"4848";"5. Optimal adjusted";420;115;305;507;493
"4849";"1. Random";371;99;272;524;476
"4850";"6. Biased  coin";385;104;281;502;498
"4851";"2. Neyman known";419;95;324;457;543
"4852";"3. RSIHR Known";450;67;383;345;655
"4853";"4. Rosenberger known";534;27;507;128;872
"4854";"5. Optimal adjusted";389;105;284;520;480
"4855";"1. Random";396;99;297;498;502
"4856";"6. Biased  coin";398;97;301;501;499
"4857";"2. Neyman known";436;108;328;469;531
"4858";"3. RSIHR Known";449;75;374;371;629
"4859";"4. Rosenberger known";541;30;511;149;851
"4860";"5. Optimal adjusted";386;113;273;534;466
"4861";"1. Random";403;110;293;500;500
"4862";"6. Biased  coin";377;102;275;501;500
"4863";"2. Neyman known";436;105;331;447;553
"4864";"3. RSIHR Known";467;75;392;344;656
"4865";"4. Rosenberger known";535;40;495;145;855
"4866";"5. Optimal adjusted";409;114;295;515;485
"4867";"1. Random";387;115;272;517;483
"4868";"6. Biased  coin";390;109;281;504;498
"4869";"2. Neyman known";418;118;300;490;510
"4870";"3. RSIHR Known";476;89;387;347;653
"4871";"4. Rosenberger known";550;42;508;155;845
"4872";"5. Optimal adjusted";408;128;280;527;473
"4873";"1. Random";395;96;299;517;483
"4874";"6. Biased  coin";394;97;297;501;500
"4875";"2. Neyman known";400;77;323;449;551
"4876";"3. RSIHR Known";451;74;377;382;618
"4877";"4. Rosenberger known";546;27;519;144;856
"4878";"5. Optimal adjusted";364;94;270;552;448
"4879";"1. Random";410;88;322;456;544
"4880";"6. Biased  coin";393;99;294;501;499
"4881";"2. Neyman known";402;80;322;440;560
"4882";"3. RSIHR Known";439;72;367;366;634
"4883";"4. Rosenberger known";531;40;491;149;851
"4884";"5. Optimal adjusted";362;92;270;536;464
"4885";"1. Random";394;85;309;489;511
"4886";"6. Biased  coin";373;89;284;503;500
"4887";"2. Neyman known";414;79;335;427;573
"4888";"3. RSIHR Known";431;68;363;363;637
"4889";"4. Rosenberger known";516;29;487;156;844
"4890";"5. Optimal adjusted";392;105;287;512;488
"4891";"1. Random";393;104;289;505;495
"4892";"6. Biased  coin";395;92;303;501;500
"4893";"2. Neyman known";421;101;320;456;544
"4894";"3. RSIHR Known";451;75;376;368;632
"4895";"4. Rosenberger known";524;28;496;152;848
"4896";"5. Optimal adjusted";377;99;278;514;486
"4897";"1. Random";406;88;318;480;520
"4898";"6. Biased  coin";400;94;306;502;500
"4899";"2. Neyman known";425;80;345;447;553
"4900";"3. RSIHR Known";447;71;376;383;617
"4901";"4. Rosenberger known";565;30;535;131;869
"4902";"5. Optimal adjusted";404;106;298;535;465
"4903";"1. Random";420;101;319;492;508
"4904";"6. Biased  coin";417;114;303;501;500
"4905";"2. Neyman known";442;89;353;438;562
"4906";"3. RSIHR Known";451;91;360;403;597
"4907";"4. Rosenberger known";556;34;522;146;854
"4908";"5. Optimal adjusted";371;107;264;549;451
"4909";"1. Random";382;103;279;509;491
"4910";"6. Biased  coin";375;97;278;500;500
"4911";"2. Neyman known";391;79;312;446;554
"4912";"3. RSIHR Known";428;70;358;375;625
"4913";"4. Rosenberger known";521;27;494;129;871
"4914";"5. Optimal adjusted";370;106;264;541;459
"4915";"1. Random";387;98;289;502;498
"4916";"6. Biased  coin";397;99;298;499;502
"4917";"2. Neyman known";405;83;322;442;558
"4918";"3. RSIHR Known";456;71;385;352;648
"4919";"4. Rosenberger known";520;43;477;175;825
"4920";"5. Optimal adjusted";377;106;271;536;464
"4921";"1. Random";408;112;296;506;494
"4922";"6. Biased  coin";397;101;296;499;501
"4923";"2. Neyman known";413;90;323;440;560
"4924";"3. RSIHR Known";435;79;356;391;609
"4925";"4. Rosenberger known";529;28;501;140;860
"4926";"5. Optimal adjusted";371;120;251;563;437
"4927";"1. Random";407;92;315;492;508
"4928";"6. Biased  coin";390;99;291;500;500
"4929";"2. Neyman known";402;88;314;460;540
"4930";"3. RSIHR Known";450;77;373;359;641
"4931";"4. Rosenberger known";530;18;512;148;852
"4932";"5. Optimal adjusted";392;108;284;533;467
"4933";"1. Random";409;99;310;484;516
"4934";"6. Biased  coin";405;99;306;499;501
"4935";"2. Neyman known";419;84;335;435;565
"4936";"3. RSIHR Known";448;69;379;350;650
"4937";"4. Rosenberger known";536;23;513;132;868
"4938";"5. Optimal adjusted";363;118;245;562;438
"4939";"1. Random";404;89;315;495;505
"4940";"6. Biased  coin";398;92;306;501;501
"4941";"2. Neyman known";424;80;344;442;558
"4942";"3. RSIHR Known";466;69;397;356;644
"4943";"4. Rosenberger known";563;30;533;140;860
"4944";"5. Optimal adjusted";377;100;277;560;440
"4945";"1. Random";387;90;297;498;502
"4946";"6. Biased  coin";363;84;279;504;499
"4947";"2. Neyman known";427;97;330;454;546
"4948";"3. RSIHR Known";428;69;359;383;617
"4949";"4. Rosenberger known";541;25;516;137;863
"4950";"5. Optimal adjusted";387;107;280;539;461
"4951";"1. Random";409;106;303;504;496
"4952";"6. Biased  coin";374;86;288;505;499
"4953";"2. Neyman known";405;94;311;470;530
"4954";"3. RSIHR Known";426;71;355;379;621
"4955";"4. Rosenberger known";520;25;495;143;857
"4956";"5. Optimal adjusted";357;98;259;544;456
"4957";"1. Random";403;108;295;499;501
"4958";"6. Biased  coin";417;121;296;500;500
"4959";"2. Neyman known";420;107;313;455;545
"4960";"3. RSIHR Known";434;77;357;367;633
"4961";"4. Rosenberger known";528;33;495;136;864
"4962";"5. Optimal adjusted";386;114;272;528;472
"4963";"1. Random";401;100;301;496;504
"4964";"6. Biased  coin";411;100;311;502;498
"4965";"2. Neyman known";436;95;341;435;565
"4966";"3. RSIHR Known";440;69;371;386;614
"4967";"4. Rosenberger known";530;18;512;144;856
"4968";"5. Optimal adjusted";377;113;264;564;436
"4969";"1. Random";400;96;304;482;518
"4970";"6. Biased  coin";414;109;305;502;499
"4971";"2. Neyman known";412;93;319;453;547
"4972";"3. RSIHR Known";427;63;364;361;639
"4973";"4. Rosenberger known";533;18;515;133;867
"4974";"5. Optimal adjusted";365;91;274;537;463
"4975";"1. Random";433;102;331;487;513
"4976";"6. Biased  coin";434;116;318;499;501
"4977";"2. Neyman known";449;97;352;438;562
"4978";"3. RSIHR Known";481;74;407;357;643
"4979";"4. Rosenberger known";567;32;535;148;852
"4980";"5. Optimal adjusted";442;127;315;515;485
"4981";"1. Random";393;111;282;528;472
"4982";"6. Biased  coin";425;121;304;501;500
"4983";"2. Neyman known";406;104;302;470;530
"4984";"3. RSIHR Known";464;87;377;385;615
"4985";"4. Rosenberger known";525;35;490;176;824
"4986";"5. Optimal adjusted";397;107;290;528;472
"4987";"1. Random";385;95;290;493;507
"4988";"6. Biased  coin";400;102;298;502;499
"4989";"2. Neyman known";382;80;302;482;518
"4990";"3. RSIHR Known";414;62;352;379;621
"4991";"4. Rosenberger known";523;20;503;146;854
"4992";"5. Optimal adjusted";374;98;276;511;489
"4993";"1. Random";387;90;297;487;513
"4994";"6. Biased  coin";376;88;288;502;499
"4995";"2. Neyman known";395;85;310;452;548
"4996";"3. RSIHR Known";435;73;362;369;631
"4997";"4. Rosenberger known";531;31;500;152;848
"4998";"5. Optimal adjusted";396;102;294;510;490
"4999";"1. Random";387;83;304;479;521
"5000";"6. Biased  coin";412;118;294;501;499
"5001";"2. Neyman known";423;91;332;429;571
"5002";"3. RSIHR Known";464;87;377;381;619
"5003";"4. Rosenberger known";538;30;508;133;867
"5004";"5. Optimal adjusted";383;125;258;546;454
"5005";"1. Random";414;102;312;481;519
"5006";"6. Biased  coin";395;108;287;501;500
"5007";"2. Neyman known";419;93;326;453;547
"5008";"3. RSIHR Known";475;77;398;359;641
"5009";"4. Rosenberger known";562;34;528;138;862
"5010";"5. Optimal adjusted";396;118;278;545;455
"5011";"1. Random";404;113;291;510;490
"5012";"6. Biased  coin";417;104;313;501;499
"5013";"2. Neyman known";435;100;335;439;561
"5014";"3. RSIHR Known";464;68;396;333;667
"5015";"4. Rosenberger known";553;34;519;150;850
"5016";"5. Optimal adjusted";410;130;280;549;451
"5017";"1. Random";386;111;275;519;481
"5018";"6. Biased  coin";368;94;274;501;500
"5019";"2. Neyman known";415;96;319;445;555
"5020";"3. RSIHR Known";450;74;376;337;663
"5021";"4. Rosenberger known";517;33;484;148;852
"5022";"5. Optimal adjusted";383;117;266;529;471
"5023";"1. Random";405;109;296;468;532
"5024";"6. Biased  coin";390;108;282;498;502
"5025";"2. Neyman known";390;89;301;452;548
"5026";"3. RSIHR Known";449;77;372;352;648
"5027";"4. Rosenberger known";513;32;481;158;842
"5028";"5. Optimal adjusted";376;116;260;553;447
"5029";"1. Random";420;103;317;460;540
"5030";"6. Biased  coin";401;102;299;500;500
"5031";"2. Neyman known";432;82;350;430;570
"5032";"3. RSIHR Known";462;78;384;355;645
"5033";"4. Rosenberger known";547;34;513;146;854
"5034";"5. Optimal adjusted";376;110;266;530;470
"5035";"1. Random";364;96;268;530;470
"5036";"6. Biased  coin";382;94;288;500;501
"5037";"2. Neyman known";409;97;312;458;542
"5038";"3. RSIHR Known";435;66;369;333;667
"5039";"4. Rosenberger known";545;36;509;140;860
"5040";"5. Optimal adjusted";373;105;268;541;459
"5041";"1. Random";371;93;278;510;490
"5042";"6. Biased  coin";408;103;305;501;500
"5043";"2. Neyman known";396;86;310;472;528
"5044";"3. RSIHR Known";427;64;363;361;639
"5045";"4. Rosenberger known";521;26;495;137;863
"5046";"5. Optimal adjusted";349;95;254;520;480
"5047";"1. Random";407;89;318;484;516
"5048";"6. Biased  coin";367;91;276;501;500
"5049";"2. Neyman known";389;74;315;451;549
"5050";"3. RSIHR Known";444;76;368;373;627
"5051";"4. Rosenberger known";525;21;504;138;862
"5052";"5. Optimal adjusted";390;107;283;523;477
"5053";"1. Random";394;111;283;534;466
"5054";"6. Biased  coin";391;100;291;500;500
"5055";"2. Neyman known";409;97;312;479;521
"5056";"3. RSIHR Known";430;84;346;389;611
"5057";"4. Rosenberger known";519;34;485;151;849
"5058";"5. Optimal adjusted";369;101;268;532;468
"5059";"1. Random";406;95;311;498;502
"5060";"6. Biased  coin";397;102;295;501;500
"5061";"2. Neyman known";423;91;332;452;548
"5062";"3. RSIHR Known";458;63;395;368;632
"5063";"4. Rosenberger known";559;28;531;129;871
"5064";"5. Optimal adjusted";401;122;279;554;446
"5065";"1. Random";408;101;307;502;498
"5066";"6. Biased  coin";384;89;295;503;499
"5067";"2. Neyman known";425;78;347;429;571
"5068";"3. RSIHR Known";450;75;375;374;626
"5069";"4. Rosenberger known";542;24;518;143;857
"5070";"5. Optimal adjusted";392;117;275;550;450
"5071";"1. Random";396;111;285;506;494
"5072";"6. Biased  coin";418;109;309;502;499
"5073";"2. Neyman known";428;93;335;439;561
"5074";"3. RSIHR Known";434;72;362;368;632
"5075";"4. Rosenberger known";520;26;494;154;846
"5076";"5. Optimal adjusted";390;101;289;518;482
"5077";"1. Random";424;98;326;478;522
"5078";"6. Biased  coin";406;98;308;499;502
"5079";"2. Neyman known";422;88;334;462;538
"5080";"3. RSIHR Known";448;59;389;358;642
"5081";"4. Rosenberger known";567;30;537;146;854
"5082";"5. Optimal adjusted";400;99;301;497;503
"5083";"1. Random";415;89;326;503;497
"5084";"6. Biased  coin";399;101;298;502;499
"5085";"2. Neyman known";408;83;325;453;547
"5086";"3. RSIHR Known";434;67;367;375;625
"5087";"4. Rosenberger known";525;28;497;148;852
"5088";"5. Optimal adjusted";372;101;271;542;458
"5089";"1. Random";382;102;280;541;459
"5090";"6. Biased  coin";394;94;300;500;500
"5091";"2. Neyman known";421;84;337;440;560
"5092";"3. RSIHR Known";436;69;367;360;640
"5093";"4. Rosenberger known";547;32;515;129;871
"5094";"5. Optimal adjusted";403;115;288;525;475
"5095";"1. Random";407;110;297;504;496
"5096";"6. Biased  coin";410;119;291;501;500
"5097";"2. Neyman known";404;105;299;463;537
"5098";"3. RSIHR Known";444;71;373;359;641
"5099";"4. Rosenberger known";536;29;507;133;867
"5100";"5. Optimal adjusted";393;118;275;528;472
"5101";"1. Random";412;108;304;504;496
"5102";"6. Biased  coin";401;101;300;503;499
"5103";"2. Neyman known";418;87;331;445;555
"5104";"3. RSIHR Known";464;84;380;388;612
"5105";"4. Rosenberger known";536;27;509;155;845
"5106";"5. Optimal adjusted";363;116;247;587;413
"5107";"1. Random";401;102;299;490;510
"5108";"6. Biased  coin";376;97;279;500;500
"5109";"2. Neyman known";412;79;333;420;580
"5110";"3. RSIHR Known";421;70;351;370;630
"5111";"4. Rosenberger known";540;37;503;138;862
"5112";"5. Optimal adjusted";375;95;280;521;479
"5113";"1. Random";377;95;282;513;487
"5114";"6. Biased  coin";399;106;293;501;499
"5115";"2. Neyman known";413;86;327;443;557
"5116";"3. RSIHR Known";457;67;390;327;673
"5117";"4. Rosenberger known";529;18;511;132;868
"5118";"5. Optimal adjusted";378;99;279;519;481
"5119";"1. Random";401;103;298;501;499
"5120";"6. Biased  coin";402;104;298;500;500
"5121";"2. Neyman known";441;98;343;445;555
"5122";"3. RSIHR Known";458;68;390;373;627
"5123";"4. Rosenberger known";563;29;534;130;870
"5124";"5. Optimal adjusted";374;90;284;522;478
"5125";"1. Random";392;95;297;502;498
"5126";"6. Biased  coin";416;102;314;500;500
"5127";"2. Neyman known";398;80;318;456;544
"5128";"3. RSIHR Known";447;75;372;380;620
"5129";"4. Rosenberger known";531;24;507;149;851
"5130";"5. Optimal adjusted";375;106;269;546;454
"5131";"1. Random";418;107;311;497;503
"5132";"6. Biased  coin";428;122;306;500;500
"5133";"2. Neyman known";442;91;351;429;571
"5134";"3. RSIHR Known";475;78;397;373;627
"5135";"4. Rosenberger known";549;27;522;144;856
"5136";"5. Optimal adjusted";408;102;306;515;485
"5137";"1. Random";380;110;270;505;495
"5138";"6. Biased  coin";408;119;289;501;500
"5139";"2. Neyman known";410;89;321;432;568
"5140";"3. RSIHR Known";420;72;348;369;631
"5141";"4. Rosenberger known";516;27;489;130;870
"5142";"5. Optimal adjusted";379;119;260;545;455
"5143";"1. Random";388;101;287;516;484
"5144";"6. Biased  coin";382;80;302;501;500
"5145";"2. Neyman known";411;86;325;480;520
"5146";"3. RSIHR Known";445;56;389;360;640
"5147";"4. Rosenberger known";569;34;535;128;872
"5148";"5. Optimal adjusted";401;107;294;522;478
"5149";"1. Random";377;114;263;545;455
"5150";"6. Biased  coin";389;100;289;500;500
"5151";"2. Neyman known";414;88;326;438;562
"5152";"3. RSIHR Known";439;84;355;391;609
"5153";"4. Rosenberger known";533;36;497;149;851
"5154";"5. Optimal adjusted";378;92;286;499;501
"5155";"1. Random";377;92;285;500;500
"5156";"6. Biased  coin";366;85;281;502;500
"5157";"2. Neyman known";388;80;308;456;544
"5158";"3. RSIHR Known";433;58;375;342;658
"5159";"4. Rosenberger known";511;17;494;155;845
"5160";"5. Optimal adjusted";356;104;252;561;439
"5161";"1. Random";411;93;318;496;504
"5162";"6. Biased  coin";409;105;304;503;500
"5163";"2. Neyman known";429;78;351;424;576
"5164";"3. RSIHR Known";443;58;385;375;625
"5165";"4. Rosenberger known";563;33;530;135;865
"5166";"5. Optimal adjusted";375;99;276;558;442
"5167";"1. Random";426;96;330;458;542
"5168";"6. Biased  coin";395;101;294;500;500
"5169";"2. Neyman known";409;84;325;454;546
"5170";"3. RSIHR Known";431;76;355;389;611
"5171";"4. Rosenberger known";534;31;503;155;845
"5172";"5. Optimal adjusted";380;118;262;555;445
"5173";"1. Random";398;92;306;489;511
"5174";"6. Biased  coin";406;104;302;496;504
"5175";"2. Neyman known";421;85;336;448;552
"5176";"3. RSIHR Known";438;78;360;384;616
"5177";"4. Rosenberger known";557;32;525;132;868
"5178";"5. Optimal adjusted";388;113;275;542;458
"5179";"1. Random";420;109;311;505;495
"5180";"6. Biased  coin";421;104;317;498;502
"5181";"2. Neyman known";422;88;334;435;565
"5182";"3. RSIHR Known";461;74;387;377;623
"5183";"4. Rosenberger known";548;23;525;132;868
"5184";"5. Optimal adjusted";399;107;292;525;475
"5185";"1. Random";425;106;319;475;525
"5186";"6. Biased  coin";401;106;295;506;500
"5187";"2. Neyman known";416;88;328;451;549
"5188";"3. RSIHR Known";417;68;349;398;602
"5189";"4. Rosenberger known";547;37;510;152;848
"5190";"5. Optimal adjusted";376;105;271;531;469
"5191";"1. Random";393;94;299;510;490
"5192";"6. Biased  coin";406;104;302;501;499
"5193";"2. Neyman known";420;85;335;430;570
"5194";"3. RSIHR Known";449;81;368;373;627
"5195";"4. Rosenberger known";527;27;500;135;865
"5196";"5. Optimal adjusted";385;115;270;552;448
"5197";"1. Random";426;107;319;486;514
"5198";"6. Biased  coin";389;102;287;500;500
"5199";"2. Neyman known";425;92;333;431;569
"5200";"3. RSIHR Known";470;82;388;358;642
"5201";"4. Rosenberger known";528;27;501;144;856
"5202";"5. Optimal adjusted";403;121;282;530;470
"5203";"1. Random";409;115;294;505;495
"5204";"6. Biased  coin";383;107;276;502;501
"5205";"2. Neyman known";434;89;345;427;573
"5206";"3. RSIHR Known";458;70;388;363;637
"5207";"4. Rosenberger known";544;34;510;140;860
"5208";"5. Optimal adjusted";374;110;264;530;470
"5209";"1. Random";397;91;306;487;513
"5210";"6. Biased  coin";392;93;299;500;500
"5211";"2. Neyman known";424;87;337;447;553
"5212";"3. RSIHR Known";432;64;368;392;608
"5213";"4. Rosenberger known";552;32;520;147;853
"5214";"5. Optimal adjusted";373;89;284;517;483
"5215";"1. Random";408;100;308;489;511
"5216";"6. Biased  coin";405;106;299;501;499
"5217";"2. Neyman known";425;94;331;456;544
"5218";"3. RSIHR Known";469;72;397;353;647
"5219";"4. Rosenberger known";546;34;512;141;859
"5220";"5. Optimal adjusted";372;96;276;513;487
"5221";"1. Random";359;80;279;505;495
"5222";"6. Biased  coin";368;77;291;499;501
"5223";"2. Neyman known";403;77;326;457;543
"5224";"3. RSIHR Known";409;66;343;387;613
"5225";"4. Rosenberger known";519;30;489;154;846
"5226";"5. Optimal adjusted";352;104;248;552;448
"5227";"1. Random";420;100;320;479;521
"5228";"6. Biased  coin";397;97;300;499;501
"5229";"2. Neyman known";408;93;315;463;537
"5230";"3. RSIHR Known";467;66;401;363;637
"5231";"4. Rosenberger known";562;30;532;144;856
"5232";"5. Optimal adjusted";404;112;292;540;460
"5233";"1. Random";392;101;291;512;488
"5234";"6. Biased  coin";382;91;291;502;499
"5235";"2. Neyman known";424;87;337;434;566
"5236";"3. RSIHR Known";460;86;374;380;620
"5237";"4. Rosenberger known";542;24;518;132;868
"5238";"5. Optimal adjusted";390;119;271;549;451
"5239";"1. Random";406;103;303;493;507
"5240";"6. Biased  coin";373;94;279;500;500
"5241";"2. Neyman known";410;89;321;456;544
"5242";"3. RSIHR Known";438;75;363;383;617
"5243";"4. Rosenberger known";535;22;513;130;870
"5244";"5. Optimal adjusted";373;105;268;546;454
"5245";"1. Random";388;116;272;504;496
"5246";"6. Biased  coin";427;104;323;499;501
"5247";"2. Neyman known";401;95;306;452;548
"5248";"3. RSIHR Known";446;87;359;370;630
"5249";"4. Rosenberger known";524;37;487;141;859
"5250";"5. Optimal adjusted";382;110;272;518;482
"5251";"1. Random";399;102;297;497;503
"5252";"6. Biased  coin";404;97;307;499;501
"5253";"2. Neyman known";418;87;331;452;548
"5254";"3. RSIHR Known";453;69;384;383;617
"5255";"4. Rosenberger known";532;22;510;148;852
"5256";"5. Optimal adjusted";375;103;272;558;442
"5257";"1. Random";397;93;304;505;495
"5258";"6. Biased  coin";401;92;309;501;500
"5259";"2. Neyman known";415;82;333;431;569
"5260";"3. RSIHR Known";470;72;398;355;645
"5261";"4. Rosenberger known";560;27;533;130;870
"5262";"5. Optimal adjusted";396;103;293;523;477
"5263";"1. Random";378;99;279;513;487
"5264";"6. Biased  coin";409;99;310;502;498
"5265";"2. Neyman known";413;92;321;439;561
"5266";"3. RSIHR Known";455;79;376;378;622
"5267";"4. Rosenberger known";543;27;516;137;863
"5268";"5. Optimal adjusted";381;106;275;531;469
"5269";"1. Random";390;88;302;490;510
"5270";"6. Biased  coin";402;108;294;499;501
"5271";"2. Neyman known";416;104;312;471;529
"5272";"3. RSIHR Known";461;70;391;350;650
"5273";"4. Rosenberger known";546;32;514;140;860
"5274";"5. Optimal adjusted";394;121;273;536;464
"5275";"1. Random";393;108;285;520;480
"5276";"6. Biased  coin";385;98;287;503;497
"5277";"2. Neyman known";426;87;339;454;546
"5278";"3. RSIHR Known";457;67;390;343;657
"5279";"4. Rosenberger known";538;21;517;142;858
"5280";"5. Optimal adjusted";393;102;291;517;483
"5281";"1. Random";400;102;298;506;494
"5282";"6. Biased  coin";380;95;285;501;500
"5283";"2. Neyman known";407;89;318;446;554
"5284";"3. RSIHR Known";438;64;374;371;629
"5285";"4. Rosenberger known";515;24;491;142;858
"5286";"5. Optimal adjusted";375;104;271;530;470
"5287";"1. Random";422;106;316;470;530
"5288";"6. Biased  coin";425;129;296;502;499
"5289";"2. Neyman known";437;111;326;444;556
"5290";"3. RSIHR Known";455;71;384;352;648
"5291";"4. Rosenberger known";554;28;526;126;874
"5292";"5. Optimal adjusted";423;128;295;526;474
"5293";"1. Random";383;86;297;495;505
"5294";"6. Biased  coin";380;89;291;499;501
"5295";"2. Neyman known";405;84;321;461;539
"5296";"3. RSIHR Known";429;64;365;377;623
"5297";"4. Rosenberger known";517;28;489;144;856
"5298";"5. Optimal adjusted";355;100;255;561;439
"5299";"1. Random";397;106;291;504;496
"5300";"6. Biased  coin";391;97;294;502;500
"5301";"2. Neyman known";440;98;342;440;560
"5302";"3. RSIHR Known";435;62;373;362;638
"5303";"4. Rosenberger known";536;28;508;141;859
"5304";"5. Optimal adjusted";373;106;267;552;448
"5305";"1. Random";382;93;289;491;509
"5306";"6. Biased  coin";376;89;287;500;500
"5307";"2. Neyman known";397;78;319;444;556
"5308";"3. RSIHR Known";437;61;376;360;640
"5309";"4. Rosenberger known";521;21;500;140;860
"5310";"5. Optimal adjusted";368;90;278;551;449
"5311";"1. Random";401;97;304;508;492
"5312";"6. Biased  coin";414;109;305;500;502
"5313";"2. Neyman known";435;86;349;429;571
"5314";"3. RSIHR Known";463;75;388;370;630
"5315";"4. Rosenberger known";555;27;528;130;870
"5316";"5. Optimal adjusted";372;99;273;536;464
"5317";"1. Random";399;95;304;493;507
"5318";"6. Biased  coin";371;91;280;500;500
"5319";"2. Neyman known";400;74;326;440;560
"5320";"3. RSIHR Known";441;74;367;367;633
"5321";"4. Rosenberger known";534;25;509;129;871
"5322";"5. Optimal adjusted";379;100;279;530;470
"5323";"1. Random";388;91;297;489;511
"5324";"6. Biased  coin";406;106;300;501;501
"5325";"2. Neyman known";419;88;331;434;566
"5326";"3. RSIHR Known";465;75;390;339;661
"5327";"4. Rosenberger known";544;28;516;137;863
"5328";"5. Optimal adjusted";390;113;277;537;463
"5329";"1. Random";390;93;297;496;504
"5330";"6. Biased  coin";397;100;297;499;501
"5331";"2. Neyman known";408;89;319;448;552
"5332";"3. RSIHR Known";436;55;381;349;651
"5333";"4. Rosenberger known";535;24;511;133;867
"5334";"5. Optimal adjusted";382;104;278;533;467
"5335";"1. Random";403;91;312;476;524
"5336";"6. Biased  coin";395;89;306;500;500
"5337";"2. Neyman known";435;80;355;424;576
"5338";"3. RSIHR Known";485;75;410;337;663
"5339";"4. Rosenberger known";540;25;515;141;859
"5340";"5. Optimal adjusted";382;108;274;533;467
"5341";"1. Random";401;96;305;507;493
"5342";"6. Biased  coin";376;88;288;500;500
"5343";"2. Neyman known";429;84;345;451;549
"5344";"3. RSIHR Known";445;64;381;390;610
"5345";"4. Rosenberger known";554;23;531;131;869
"5346";"5. Optimal adjusted";380;108;272;552;448
"5347";"1. Random";402;100;302;473;527
"5348";"6. Biased  coin";400;105;295;502;500
"5349";"2. Neyman known";396;88;308;449;551
"5350";"3. RSIHR Known";461;74;387;353;647
"5351";"4. Rosenberger known";533;29;504;135;865
"5352";"5. Optimal adjusted";361;107;254;540;460
"5353";"1. Random";379;103;276;497;503
"5354";"6. Biased  coin";392;100;292;504;496
"5355";"2. Neyman known";422;98;324;473;527
"5356";"3. RSIHR Known";439;58;381;347;653
"5357";"4. Rosenberger known";523;27;496;153;847
"5358";"5. Optimal adjusted";371;101;270;548;452
"5359";"1. Random";390;95;295;488;512
"5360";"6. Biased  coin";385;104;281;500;500
"5361";"2. Neyman known";422;97;325;429;571
"5362";"3. RSIHR Known";434;69;365;364;636
"5363";"4. Rosenberger known";521;28;493;135;865
"5364";"5. Optimal adjusted";411;111;300;503;497
"5365";"1. Random";416;117;299;502;498
"5366";"6. Biased  coin";404;92;312;500;501
"5367";"2. Neyman known";444;91;353;443;557
"5368";"3. RSIHR Known";460;85;375;381;619
"5369";"4. Rosenberger known";542;31;511;158;842
"5370";"5. Optimal adjusted";409;101;308;526;474
"5371";"1. Random";398;106;292;498;502
"5372";"6. Biased  coin";378;97;281;501;500
"5373";"2. Neyman known";420;108;312;453;547
"5374";"3. RSIHR Known";429;72;357;369;631
"5375";"4. Rosenberger known";518;29;489;138;862
"5376";"5. Optimal adjusted";369;104;265;532;468
"5377";"1. Random";386;107;279;547;453
"5378";"6. Biased  coin";410;101;309;501;500
"5379";"2. Neyman known";451;93;358;441;559
"5380";"3. RSIHR Known";466;80;386;383;617
"5381";"4. Rosenberger known";556;26;530;138;862
"5382";"5. Optimal adjusted";393;120;273;546;454
"5383";"1. Random";393;88;305;486;514
"5384";"6. Biased  coin";399;95;304;501;500
"5385";"2. Neyman known";425;85;340;445;555
"5386";"3. RSIHR Known";428;71;357;378;622
"5387";"4. Rosenberger known";544;34;510;150;850
"5388";"5. Optimal adjusted";400;93;307;505;495
"5389";"1. Random";400;101;299;518;482
"5390";"6. Biased  coin";411;105;306;502;499
"5391";"2. Neyman known";436;92;344;438;562
"5392";"3. RSIHR Known";463;67;396;352;648
"5393";"4. Rosenberger known";551;34;517;154;846
"5394";"5. Optimal adjusted";381;109;272;555;445
"5395";"1. Random";388;108;280;494;506
"5396";"6. Biased  coin";411;124;287;500;500
"5397";"2. Neyman known";418;108;310;454;546
"5398";"3. RSIHR Known";436;76;360;367;633
"5399";"4. Rosenberger known";524;36;488;147;853
"5400";"5. Optimal adjusted";387;108;279;508;492
"5401";"1. Random";380;98;282;526;474
"5402";"6. Biased  coin";382;89;293;502;500
"5403";"2. Neyman known";393;88;305;469;531
"5404";"3. RSIHR Known";450;66;384;349;651
"5405";"4. Rosenberger known";522;37;485;167;833
"5406";"5. Optimal adjusted";379;109;270;540;460
"5407";"1. Random";389;112;277;512;488
"5408";"6. Biased  coin";397;106;291;502;499
"5409";"2. Neyman known";429;94;335;422;578
"5410";"3. RSIHR Known";453;83;370;365;635
"5411";"4. Rosenberger known";550;33;517;148;852
"5412";"5. Optimal adjusted";402;111;291;504;496
"5413";"1. Random";422;104;318;487;513
"5414";"6. Biased  coin";400;98;302;501;500
"5415";"2. Neyman known";430;85;345;434;566
"5416";"3. RSIHR Known";441;61;380;372;628
"5417";"4. Rosenberger known";551;31;520;138;862
"5418";"5. Optimal adjusted";399;118;281;547;453
"5419";"1. Random";409;110;299;513;487
"5420";"6. Biased  coin";382;96;286;500;500
"5421";"2. Neyman known";416;105;311;459;541
"5422";"3. RSIHR Known";436;76;360;384;616
"5423";"4. Rosenberger known";545;25;520;125;875
"5424";"5. Optimal adjusted";386;120;266;553;447
"5425";"1. Random";386;88;298;505;495
"5426";"6. Biased  coin";399;104;295;500;500
"5427";"2. Neyman known";405;84;321;435;565
