"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"2079";"2. Neyman known";399;82;317;449;551
"2080";"3. RSIHR Known";456;79;377;344;656
"2081";"4. Rosenberger known";529;24;505;124;876
"2082";"5. Optimal adjusted";362;101;261;529;471
"2083";"1. Random";418;108;310;502;498
"2084";"6. Biased  coin";385;95;290;500;500
"2085";"2. Neyman known";414;80;334;435;565
"2086";"3. RSIHR Known";441;62;379;355;645
"2087";"4. Rosenberger known";542;34;508;142;858
"2088";"5. Optimal adjusted";391;118;273;539;461
"2089";"1. Random";391;101;290;494;506
"2090";"6. Biased  coin";402;105;297;500;500
"2091";"2. Neyman known";415;103;312;457;543
"2092";"3. RSIHR Known";445;71;374;360;640
"2093";"4. Rosenberger known";525;27;498;133;867
"2094";"5. Optimal adjusted";391;115;276;540;460
"2095";"1. Random";403;99;304;496;504
"2096";"6. Biased  coin";403;103;300;508;495
"2097";"2. Neyman known";413;96;317;456;544
"2098";"3. RSIHR Known";453;77;376;377;623
"2099";"4. Rosenberger known";534;25;509;144;856
"2100";"5. Optimal adjusted";376;119;257;564;436
"2101";"1. Random";402;111;291;499;501
"2102";"6. Biased  coin";398;104;294;501;500
"2103";"2. Neyman known";420;89;331;421;579
"2104";"3. RSIHR Known";461;70;391;334;666
"2105";"4. Rosenberger known";536;22;514;127;873
"2106";"5. Optimal adjusted";400;113;287;517;483
"2107";"1. Random";396;91;305;487;513
"2108";"6. Biased  coin";375;93;282;500;500
"2109";"2. Neyman known";417;84;333;445;555
"2110";"3. RSIHR Known";450;86;364;391;609
"2111";"4. Rosenberger known";524;26;498;136;864
"2112";"5. Optimal adjusted";372;113;259;551;449
"2113";"1. Random";391;105;286;505;495
"2114";"6. Biased  coin";409;104;305;501;501
"2115";"2. Neyman known";426;88;338;435;565
"2116";"3. RSIHR Known";435;86;349;402;598
"2117";"4. Rosenberger known";531;33;498;157;843
"2118";"5. Optimal adjusted";407;109;298;523;477
"2119";"1. Random";397;95;302;481;519
"2120";"6. Biased  coin";395;89;306;503;499
"2121";"2. Neyman known";417;79;338;425;575
"2122";"3. RSIHR Known";453;72;381;368;632
"2123";"4. Rosenberger known";541;38;503;154;846
"2124";"5. Optimal adjusted";363;94;269;543;457
"2125";"1. Random";411;97;314;473;527
"2126";"6. Biased  coin";409;108;301;500;500
"2127";"2. Neyman known";423;102;321;459;541
"2128";"3. RSIHR Known";446;63;383;366;634
"2129";"4. Rosenberger known";559;40;519;139;861
"2130";"5. Optimal adjusted";403;122;281;546;454
"2131";"1. Random";412;98;314;473;527
"2132";"6. Biased  coin";409;114;295;501;500
"2133";"2. Neyman known";425;84;341;439;561
"2134";"3. RSIHR Known";459;78;381;374;626
"2135";"4. Rosenberger known";532;25;507;146;854
"2136";"5. Optimal adjusted";394;107;287;515;485
"2137";"1. Random";410;122;288;509;491
"2138";"6. Biased  coin";406;109;297;501;500
"2139";"2. Neyman known";416;100;316;450;550
"2140";"3. RSIHR Known";444;83;361;374;626
"2141";"4. Rosenberger known";525;32;493;128;872
"2142";"5. Optimal adjusted";400;127;273;534;466
"2143";"1. Random";400;94;306;491;509
"2144";"6. Biased  coin";383;90;293;500;500
"2145";"2. Neyman known";422;76;346;443;557
"2146";"3. RSIHR Known";456;73;383;375;625
"2147";"4. Rosenberger known";556;33;523;148;852
"2148";"5. Optimal adjusted";388;105;283;551;449
